region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
BCAS2	0.826747720364742	0.00598802395209581	0.00748502994011976	Cell_0682	3	329	AMP
CLK2	0.838905775075988	0.00598802395209581	0.00748502994011976	Cell_0682	3	329	AMP
DCLRE1B	0.911854103343465	0.00598802395209581	0.00748502994011976	Cell_0682	3	329	AMP
MAD2L2	1.5	0.00998003992015968	0.0798403193612774	Cell_0970	3	26	AMP
MTOR	0.990881458966566	0.00199600798403194	0.00399201596806387	Cell_0682	3	329	AMP
NOTCH2	1.09726443768997	0.00199600798403194	0.00399201596806387	Cell_0682	3	329	AMP
NTRK1	0.972644376899696	0.00199600798403194	0.00399201596806387	Cell_0682	3	329	AMP
RIT1	0.984802431610942	0.00199600798403194	0.00399201596806387	Cell_0682	3	329	AMP
SPEN	1.2	0.00199600798403194	0.0199600798403194	Cell_0964	3	60	AMP
NRAS	2.11111111111111	0.00998003992015968	0.0998003992015968	Cell_0693	3	9	AMP
NRAS	1.38297872340426	0.00199600798403194	0.0199600798403194	Cell_0841	3	47	AMP
SPEN	-0.714285714285714	0.00199600798403194	0.0199600798403194	Cell_0998	4	7	DEL
NRAS	-0.8	0.00399201596806387	0.0399201596806387	Cell_0830	5	5	DEL
DCLRE1B	-0.6	0.00199600798403194	0.0199600798403194	Cell_0872	7	10	DEL
NOTCH2	-0.625	0.00399201596806387	0.0399201596806387	Cell_0811	7	8	DEL
