region	Score	pvalue	cell	depth	subtreesize	CNA	adjustp
PDGFA	0.7142857142857144	1.0	cell_7	1	7	AMP	1.0
YTHDF3	0.7999999999999998	1.0	cell_4	2	5	AMP	1.0
GGH	0.7999999999999998	1.0	cell_4	2	5	AMP	1.0
RAB2A	0.7999999999999998	1.0	cell_4	2	5	AMP	1.0
MCM4	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
PRKDC	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
FNTA	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
LEPROTL1	-0.8	1.0	cell_4	2	5	DEL	1.0
TMEM66	-0.8	1.0	cell_4	2	5	DEL	1.0
BNIP3L	-0.8	1.0	cell_4	2	5	DEL	1.0
REEP4	-1.2	1.0	cell_4	2	5	DEL	1.0
ATP6V1B2	-1.2	1.0	cell_4	2	5	DEL	1.0
ASAH1	-1.2	1.0	cell_4	2	5	DEL	1.0
MTUS1	-1.2	1.0	cell_4	2	5	DEL	1.0
CNOT7	-1.2	1.0	cell_4	2	5	DEL	1.0
FDFT1	-1.4	1.0	cell_4	2	5	DEL	1.0
INSIG1	-0.6000000000000001	1.0	cell_4	2	5	DEL	1.0
RHEB	-0.6000000000000001	1.0	cell_4	2	5	DEL	1.0
SNHG6	0.7999999999999998	1.0	cell_4	2	5	AMP	1.0
RPL7	0.7999999999999998	1.0	cell_4	2	5	AMP	1.0
UBE2W	0.7999999999999998	1.0	cell_4	2	5	AMP	1.0
TCEB1	0.7999999999999998	1.0	cell_4	2	5	AMP	1.0
POLR2K	1.6	1.0	cell_4	2	5	AMP	1.0
VPS13B	1.6	1.0	cell_4	2	5	AMP	1.0
STK3	1.6	1.0	cell_4	2	5	AMP	1.0
LAPTM4B	1.4	1.0	cell_4	2	5	AMP	1.0
PTDSS1	1.4	1.0	cell_4	2	5	AMP	1.0
MTERFD1	1.4	1.0	cell_4	2	5	AMP	1.0
UQCRB	1.4	1.0	cell_4	2	5	AMP	1.0
ESRP1	1.4	1.0	cell_4	2	5	AMP	1.0
TMEM176B	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
DECR1	1.4	1.0	cell_4	2	5	AMP	1.0
CPNE3	1.4	1.0	cell_4	2	5	AMP	1.0
RMDN1	1.4	1.0	cell_4	2	5	AMP	1.0
CA2	1.4	1.0	cell_4	2	5	AMP	1.0
C8orf59	1.4	1.0	cell_4	2	5	AMP	1.0
ZFAND1	1.4	1.0	cell_4	2	5	AMP	1.0
FABP4	1.2000000000000002	1.0	cell_4	2	5	AMP	1.0
FABP5	1.0	1.0	cell_4	2	5	AMP	1.0
PEX2	1.0	1.0	cell_4	2	5	AMP	1.0
NBN	1.4	1.0	cell_4	2	5	AMP	1.0
PABPC1	1.6	1.0	cell_4	2	5	AMP	1.0
RARRES2	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
CASP2	-0.3999999999999999	1.0	cell_4	2	5	DEL	1.0
STAG3L2	-0.6000000000000001	1.0	cell_4	2	5	DEL	1.0
GGCT	-0.19999999999999996	1.0	cell_4	2	5	DEL	1.0
