cell	segment	score	deviation	depth	subtreesize	pvalue
HNSCC5_p7_HNSCC5_P7_G04	chr7_1	3.713572066704308	1	2	40	1.0
HNSCC5_p7_HNSCC5_P7_G04	chr8_2	7.427144133408616	2	2	40	0.6044624746450304
HNSCC5_p7_HNSCC5_P7_G04	chr12_1	-3.713572066704308	-1	2	40	1.0
HNSCC5_p13_P13_H01	chr8_1	2.9444389791664403	1	5	18	1.0
HNSCC5_p13_P13_H01	chr8_2	5.8888779583328805	2	5	18	0.5145228215767634
HNSCC5_p13_P13_H01	chr12_1	-2.9444389791664403	-1	5	18	1.0
HNSCC5_p13_P13_H01	chr12_3	2.9444389791664403	1	5	18	1.0
HNSCC5_p14_HNSCC5_P14_LN_G09	chr8_2	6.270988431858299	2	4	22	0.5691056910569106
HNSCC5_p14_HNSCC5_P14_LN_G09	chr12_1	-3.1354942159291497	-1	4	22	1.0
HNSCC5_p14_HNSCC5_P14_LN_G09	chr12_3	3.1354942159291497	1	4	22	1.0
HNSCC5_p15_HNSCC5_P15_B08	chr7_1	-1.6094379124341003	-1	4	4	1.0
HNSCC5_p15_HNSCC5_P15_B08	chr8_2	3.2188758248682006	2	4	4	0.582995951417004
HNSCC5_p15_HNSCC5_P15_B08	chr12_1	-1.6094379124341003	-1	4	4	1.0
HNSCC5_p14_HNSCC5_P14_LN_C01	chr8_2	7.327123292259293	2	3	38	0.5769230769230769
HNSCC5_p14_HNSCC5_P14_LN_C01	chr12_1	-3.6635616461296463	-1	3	38	1.0
HNSCC5_p14_HNSCC5_P14_LN_B06	chr7_1	1.6094379124341003	1	2	4	1.0
HNSCC5_p14_HNSCC5_P14_LN_B06	chr8_1	1.6094379124341003	1	2	4	1.0
HNSCC5_p14_HNSCC5_P14_LN_B06	chr8_2	1.6094379124341003	1	2	4	1.0
HNSCC5_p14_HNSCC5_P14_LN_B06	chr12_1	-1.6094379124341003	-1	2	4	1.0
HNSCC5_p9_HNSCC5_P9_E08	chr7_1	3.912023005428146	1	1	49	1.0
HNSCC5_p9_HNSCC5_P9_E08	chr8_2	3.912023005428146	1	1	49	1.0
HNSCC5_p9_HNSCC5_P9_E08	chr12_1	-3.912023005428146	-1	1	49	1.0
HNSCC5_p7_HNSCC5_P7_A12	chr7_1	0.6931471805599453	1	3	1	1.0
HNSCC5_p7_HNSCC5_P7_A12	chr8_1	0.6931471805599453	1	3	1	1.0
HNSCC5_p7_HNSCC5_P7_A12	chr8_2	0.6931471805599453	1	3	1	1.0
HNSCC5_p7_HNSCC5_P7_A12	chr12_1	-0.6931471805599453	-1	3	1	1.0
HNSCC5_p5_P5_A08	chr7_1	0.6931471805599453	1	8	1	1.0
HNSCC5_p5_P5_A08	chr7_2	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p5_P5_A08	chr8_1	0.6931471805599453	1	8	1	1.0
HNSCC5_p5_P5_A08	chr8_2	1.3862943611198906	2	8	1	0.5526315789473685
HNSCC5_p5_P5_A08	chr12_1	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p5_P5_A08	chr12_3	-0.6931471805599453	-1	8	1	1.0
HNSCC5_p3_HNSCC5_P3_C11	chr7_1	0.6931471805599453	1	5	1	1.0
