region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
chr12:p13.32-q13.13	1.0408163265306123	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr12:q13.13-q24.31	2.0816326530612246	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr7:p22.3-p13	2.204081632653061	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr7:q31.2-q36.3	1.4489795918367347	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr8:p23.1-q21.3	2.326530612244898	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr8:q24.22-q24.3	3.7142857142857144	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr10:p15.3-q22.1	2.0	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr7:p13-q31.1	2.0	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr8:q21.3-q24.22	3.4285714285714284	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr10:q22.1-q24.32	2.0	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
chr10:q25.1-q26.3	2.0	0.009900990099009901	0.009900990099009901	HNSCC5_p5_P5_E03	1	49	AMP
