	chr10:q24.32-q26.13	chr10:35415928-5855512	chr10:p15.1-q25.2	chr12:124069098-6862307	chr12:q23.2-q24.23	chr12:p13.31-q24.12	chr7:150035417-94060539	chr7:75956115-66460573	chr7:p14.3-p14.1	chr8:q22.3-q24.3	chr8:q21.13-q22.2	chr8:q11.21-q24.3
HNSCC5_p7_HNSCC5_P7_G04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p13_P13_H01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_G09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_B08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_C01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_B06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p9_HNSCC5_P9_E08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_A12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p5_P5_A08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p3_HNSCC5_P3_C11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_C07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p9_HNSCC5_P9_B09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_D10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p5_P5_B05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_A04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_B09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_D05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p5_P5_H06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_B12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_A09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_C12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_H01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_A07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p5_P5_F11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_C10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_F10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_C09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_D08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_F10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p13_P13_E03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p7_HNSCC5_P7_G05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p15_HNSCC5_P15_E07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_C06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p5_P5_E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_G06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p9_HNSCC5_P9_G07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p5_P5_E03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_B10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_A09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_G08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_A11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p13_P13_H09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_H03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_G03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_G05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_A05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_E09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_G07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p3_HNSCC5_P3_A04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
