region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
chr12:p13.32	-1.68	0.0476190476190476	0.268170426065163	HNSCC5_p7_HNSCC5_P7_G05	1	50	DEL
chr8:q	1.34285714285714	0.0476190476190476	0.149859943977591	HNSCC5_p7_HNSCC5_P7_G05	1	50	AMP
chr7:q34	-0.735294117647059	0.0454545454545455	0.303977272727273	HNSCC5_p5_P5_F11	2	34	DEL
chr7:q36.2	-1.11764705882353	0.0454545454545455	0.303977272727273	HNSCC5_p5_P5_F11	2	34	DEL
chr8:p23.1-21.3	-0.715686274509804	0.0454545454545455	0.303977272727273	HNSCC5_p5_P5_F11	2	34	DEL
chr8:q21.3	1.29411764705882	0.0454545454545455	0.187062937062937	HNSCC5_p5_P5_F11	2	34	AMP
chr8:q22	1.41176470588235	0.0454545454545455	0.187062937062937	HNSCC5_p5_P5_F11	2	34	AMP
chr8:p11.21	0.857142857142857	0.0277777777777778	0.165123456790123	HNSCC5_p14_HNSCC5_P14_LN_C09	2	7	AMP
chr8:q11	0.928571428571429	0.0277777777777778	0.165123456790123	HNSCC5_p14_HNSCC5_P14_LN_C09	2	7	AMP
chr7:q36.1	-0.892857142857143	0.0476190476190476	0.363945578231293	HNSCC5_p7_HNSCC5_P7_A04	3	28	DEL
chr8:q21.2	1.25	0.0476190476190476	0.212301587301587	HNSCC5_p7_HNSCC5_P7_A04	3	28	AMP
chr12:p13.31	-1.78571428571429	0.0476190476190476	0.363945578231293	HNSCC5_p7_HNSCC5_P7_A04	3	28	DEL
chr8:p11.21	0.6	0.032258064516129	0.28763440860215	HNSCC5_p9_HNSCC5_P9_F10	4	5	AMP
chr8:q11	0.9	0.032258064516129	0.28763440860215	HNSCC5_p9_HNSCC5_P9_F10	4	5	AMP
chr8:p21.2	-0.681818181818182	0.0454545454545455	0.374125874125874	HNSCC5_p7_HNSCC5_P7_G04	4	22	DEL
chr8:p12	-0.545454545454545	0.0454545454545455	0.374125874125874	HNSCC5_p7_HNSCC5_P7_G04	4	22	DEL
chr12:q24.31	0.6875	0.0434782608695652	0.211462450592885	HNSCC5_p7_HNSCC5_P7_C10	8	16	AMP
chr12:q24.12-24.13	0.8125	0.0333333333333333	0.187719298245614	HNSCC5_p14_HNSCC5_P14_LN_G06	9	8	AMP
