region	Score	pvalue	adjustp	cell	depth	subtreesize	CNA
chr1:p36.33	0.888888888888889	0.00798403193612774	0.017564870259481	Cell_0913	2	36	AMP
chr1:q21.3	0.916666666666667	0.00399201596806387	0.0146373918829009	Cell_0913	2	36	AMP
chr1:q24.2	0.861111111111111	0.00598802395209581	0.0146373918829009	Cell_0913	2	36	AMP
chr1:p13	0.888888888888889	0.0029940119760479	0.0146373918829009	Cell_0913	2	36	AMP
chr1:q23	0.875	0.00399201596806387	0.0146373918829009	Cell_0913	2	36	AMP
chr1:p36.33	0.961538461538462	0.00199600798403194	0.00627316794981466	Cell_0970	3	26	AMP
chr1:p36.22	1	0.00199600798403194	0.00627316794981466	Cell_0970	3	26	AMP
chr1:p12-11.2	1.09615384615385	0.0029940119760479	0.00801571460254095	Cell_0970	3	26	AMP
chr1:q21.2	0.923076923076923	0.00199600798403194	0.00627316794981466	Cell_0970	3	26	AMP
chr1:q22	0.923076923076923	0.00798403193612774	0.0159680638722555	Cell_0970	3	26	AMP
chr1:q25.1	0.923076923076923	0.00998003992015968	0.0168892983264241	Cell_0970	3	26	AMP
chr1:q23-24	0.967948717948718	0.00449101796407186	0.0121120396569498	Cell_0970	3	26	AMP
chr1:q23-24	0.967948717948718	0.00449101796407186	0.00801571460254095	Cell_0970	3	26	AMP
chr1:p36.21-36.13	0.835866261398176	0.00199600798403194	0.00199600798403194	Cell_0682	3	329	AMP
chr1:q21.1	0.9209726443769	0.00199600798403194	0.00199600798403194	Cell_0682	3	329	AMP
chr1:q24.3	0.844984802431611	0.00199600798403194	0.00199600798403194	Cell_0682	3	329	AMP
chr1:p13	0.911854103343465	0.00199600798403194	0.00199600798403194	Cell_0682	3	329	AMP
chr1:p21	0.9209726443769	0.00199600798403194	0.00199600798403194	Cell_0682	3	329	AMP
chr1:p36.21	0.944444444444444	0.00998003992015968	0.109780439121756	Cell_0604	3	18	AMP
chr1:q21.1	1.05555555555556	0.00399201596806387	0.0878243512974052	Cell_0604	3	18	AMP
chr1:q24.1	1.11111111111111	0.00998003992015968	0.109780439121756	Cell_0693	3	9	AMP
chr1:q21.3	0.96	0.00199600798403194	0.0146373918829009	Cell_0929	4	25	AMP
