	chr10:99195665-71930270	chr10:71962590-5501019	chr10:120057436-103923628	chr12:p12.1-q13.2	chr12:53342654-9268825	chr12:119616594-69065681	chr7:p15.3-q34	chr7:155089481-45116052	chr7:p15.3-q36.1	chr8:q21.11-q21.13	chr8:102209265-48872696	chr8:145149978-131029375
HNSCC5_p7_HNSCC5_P7_G04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p13_P13_H01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_G09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_B08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_C01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_B06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_E08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p7_HNSCC5_P7_A12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p5_P5_A08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p3_HNSCC5_P3_C11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_C07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_B09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_D10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p5_P5_B05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_A04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_B09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_D05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p5_P5_H06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_B12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_A09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_C12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_H01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_A07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p5_P5_F11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_C10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p13_P13_F10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_C09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_D08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_F10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p13_P13_E03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_G05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_E07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p13_P13_C06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p5_P5_E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_G06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_G07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p5_P5_E03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_B10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_A09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_G08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_A11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
HNSCC5_p13_P13_H09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
