	chr10:q21.3-q25.2	chr10:5807185-1095306	chr10:100175954-88730672	chr12:q14.3-q24.13	chr12:54789044-49668383	chr12:96588152-21671342	chr7:102988089-25164879	chr7:98992295-44109055	chr7:150035417-100782528	chr8:146277852-109501417	chr8:126104064-63951365	chr8:145064223-104427563
HNSCC5_p7_HNSCC5_P7_G04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p13_P13_H01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_G09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_B08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_C01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_B06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p9_HNSCC5_P9_E08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_A12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p5_P5_A08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p3_HNSCC5_P3_C11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_C07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_B09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_D10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p5_P5_B05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_A04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p7_HNSCC5_P7_B09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_D05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p5_P5_H06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p15_HNSCC5_P15_B12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_A09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p9_HNSCC5_P9_C12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_H01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_A07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p5_P5_F11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p7_HNSCC5_P7_C10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_F10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p14_HNSCC5_P14_LN_C09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_D08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_F10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_E03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p7_HNSCC5_P7_G05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p15_HNSCC5_P15_E07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_C06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p5_P5_E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_G06	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p9_HNSCC5_P9_G07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p5_P5_E03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p9_HNSCC5_P9_B10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
HNSCC5_p14_HNSCC5_P14_LN_A09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_G08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p15_HNSCC5_P15_A11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0
HNSCC5_p13_P13_H09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_H03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p15_HNSCC5_P15_G03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p13_P13_G05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p13_P13_A05	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p9_HNSCC5_P9_E09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HNSCC5_p3_HNSCC5_P3_G07	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
HNSCC5_p3_HNSCC5_P3_A04	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
